央视频道,#genre#
CCTV6,http://101.35.240.114:88/live.php?id=CCTV6
CCTV6,http://47.99.202.156:8001/tvlive/cctv6hd.m3u8?node=1
CCTV6,http://47.99.202.156:8001/tvlive/cctv6hd.m3u8?node=2
CCTV6,http://47.99.202.156:8001/tvlive/cctv6hd.m3u8?node=3
CCTV6,http://47.99.202.156:8001/tvlive/cctv6hd.m3u8?node=4
CCTV6,http://47.99.202.156:8001/tvlive/cctv6hd.m3u8?node=5
CCTV6,http://47.99.202.156:8001/tvlive/cctv6hd.m3u8?node=6
CCTV6,http://47.99.202.156:8001/tvlive/cctv6hd.m3u8?node=7
CCTV6,http://47.99.202.156:8001/tvlive/cctv6hd.m3u8?node=8
CCTV6,http://47.99.202.156:8001/tvlive/cctv6hd.m3u8?node=9
CCTV6,http://47.99.202.156:8001/tvlive/cctv6hd.m3u8?node=10
CCTV6,http://47.99.202.156:8001/tvlive/cctv6hd.m3u8?node=11
CCTV6,http://47.99.202.156:8001/tvlive/cctv6hd.m3u8?node=12
CCTV6,http://38.75.136.137:98/gslb/dsdqpub/cctv6hd.m3u8?auth=tvzb260306
银龄生活,http://47.97.252.137:81/applive/byt.m3u8?app=jiashitong
CCTV7,http://47.99.202.156:8001/apptv/cctv7.m3u8
CCTV7,http://47.99.202.156:8001/cdnlive/cctv7.m3u8
CCTV7,http://101.35.240.114:88/live.php?id=CCTV7
CCTV7,http://47.99.202.156:8001/tvlive/cctv7hd.m3u8?node=1
CCTV7,http://47.99.202.156:8001/tvlive/cctv7hd.m3u8?node=2
CCTV7,http://47.99.202.156:8001/tvlive/cctv7hd.m3u8?node=3
CCTV7,http://47.99.202.156:8001/tvlive/cctv7hd.m3u8?node=4
CCTV7,http://47.99.202.156:8001/tvlive/cctv7hd.m3u8?node=5
CCTV7,http://47.99.202.156:8001/tvlive/cctv7hd.m3u8?node=6
CCTV7,http://47.99.202.156:8001/tvlive/cctv7hd.m3u8?node=7
CCTV7,http://47.99.202.156:8001/tvlive/cctv7hd.m3u8?node=8
CCTV7,http://47.99.202.156:8001/tvlive/cctv7hd.m3u8?node=9
CCTV7,http://47.99.202.156:8001/tvlive/cctv7hd.m3u8?node=10
CCTV7,http://47.99.202.156:8001/tvlive/cctv7hd.m3u8?node=11
CCTV7,http://38.75.136.137:98/gslb/dsdqpub/cctv7hd.m3u8?auth=tvzb260306
CCTV8,http://47.99.202.156:8001/apptv/cctv8.m3u8
CCTV8,http://47.99.202.156:8001/cdnlive/cctv8.m3u8
CCTV8,http://101.35.240.114:88/live.php?id=CCTV8
CCTV8,http://47.99.202.156:8001/tvlive/cctv8hd.m3u8?node=1
CCTV8,http://47.99.202.156:8001/tvlive/cctv8hd.m3u8?node=2
CCTV8,http://47.99.202.156:8001/tvlive/cctv8hd.m3u8?node=3
CCTV8,http://47.99.202.156:8001/tvlive/cctv8hd.m3u8?node=4
CCTV8,http://47.99.202.156:8001/tvlive/cctv8hd.m3u8?node=5
CCTV8,http://47.99.202.156:8001/tvlive/cctv8hd.m3u8?node=6
CCTV8,http://47.99.202.156:8001/tvlive/cctv8hd.m3u8?node=7
CCTV8,http://47.99.202.156:8001/tvlive/cctv8hd.m3u8?node=8
CCTV8,http://47.99.202.156:8001/tvlive/cctv8hd.m3u8?node=9
CCTV8,http://47.99.202.156:8001/tvlive/cctv8hd.m3u8?node=10
CCTV8,http://47.99.202.156:8001/tvlive/cctv8hd.m3u8?node=11
CCTV8,http://47.99.202.156:8001/tvlive/cctv8hd.m3u8?node=12
CCTV8,http://38.75.136.137:98/gslb/dsdqpub/cctv8hd.m3u8?auth=tvzb260306
健康有约,http://47.97.252.137:81/applive/105.m3u8?app=jiashitong
CCTV9,http://47.99.202.156:8001/apptv/cctv9.m3u8
CCTV9,http://47.99.202.156:8001/cdnlive/cctv9.m3u8
CCTV9,http://101.35.240.114:88/live.php?id=CCTV9
CCTV9,http://47.99.202.156:8001/tvlive/cctv9hd.m3u8?node=1
CCTV9,http://47.99.202.156:8001/tvlive/cctv9hd.m3u8?node=2
CCTV9,http://47.99.202.156:8001/tvlive/cctv9hd.m3u8?node=3
CCTV9,http://47.99.202.156:8001/tvlive/cctv9hd.m3u8?node=4
CCTV9,http://47.99.202.156:8001/tvlive/cctv9hd.m3u8?node=5
CCTV9,http://47.99.202.156:8001/tvlive/cctv9hd.m3u8?node=6
CCTV9,http://47.99.202.156:8001/tvlive/cctv9hd.m3u8?node=7
CCTV9,http://47.99.202.156:8001/tvlive/cctv9hd.m3u8?node=8
CCTV9,http://47.99.202.156:8001/tvlive/cctv9hd.m3u8?node=9
CCTV9,http://47.99.202.156:8001/tvlive/cctv9hd.m3u8?node=10
CCTV9,http://47.99.202.156:8001/tvlive/cctv9hd.m3u8?node=11
CCTV9,http://38.75.136.137:98/gslb/dsdqpub/cctv9hd.m3u8?auth=tvzb260306
CCTV10,http://47.99.202.156:8001/apptv/cctv10.m3u8
CCTV10,http://47.99.202.156:8001/cdnlive/cctv10.m3u8
CCTV10,http://101.35.240.114:88/live.php?id=CCTV10
CCTV10,http://47.99.202.156:8001/tvlive/cctv10hd.m3u8?node=1
CCTV10,http://47.99.202.156:8001/tvlive/cctv10hd.m3u8?node=2
CCTV10,http://47.99.202.156:8001/tvlive/cctv10hd.m3u8?node=3
CCTV10,http://47.99.202.156:8001/tvlive/cctv10hd.m3u8?node=4
CCTV10,http://47.99.202.156:8001/tvlive/cctv10hd.m3u8?node=5
CCTV10,http://47.99.202.156:8001/tvlive/cctv10hd.m3u8?node=6
CCTV10,http://47.99.202.156:8001/tvlive/cctv10hd.m3u8?node=7
CCTV10,http://47.99.202.156:8001/tvlive/cctv10hd.m3u8?node=8
CCTV10,http://47.99.202.156:8001/tvlive/cctv10hd.m3u8?node=9
CCTV10,http://47.99.202.156:8001/tvlive/cctv10hd.m3u8?node=10
CCTV10,http://47.99.202.156:8001/tvlive/cctv10hd.m3u8?node=11
CCTV10,http://38.75.136.137:98/gslb/dsdqpub/cctv10hd.m3u8?auth=tvzb260306
CCTV11,http://47.99.202.156:8001/apptv/cctv11.m3u8
CCTV11,http://47.99.202.156:8001/cdnlive/cctv11.m3u8
CCTV11,http://101.35.240.114:88/live.php?id=CCTV11
CCTV11,http://47.99.202.156:8001/tvlive/cctv11hd.m3u8?node=1
CCTV11,http://47.99.202.156:8001/tvlive/cctv11hd.m3u8?node=2
CCTV11,http://47.99.202.156:8001/tvlive/cctv11hd.m3u8?node=3
CCTV11,http://47.99.202.156:8001/tvlive/cctv11hd.m3u8?node=4
CCTV11,http://47.99.202.156:8001/tvlive/cctv11hd.m3u8?node=5
CCTV11,http://47.99.202.156:8001/tvlive/cctv11hd.m3u8?node=6
CCTV11,http://47.99.202.156:8001/tvlive/cctv11hd.m3u8?node=7
CCTV11,http://47.99.202.156:8001/tvlive/cctv11hd.m3u8?node=8
CCTV11,http://47.99.202.156:8001/tvlive/cctv11hd.m3u8?node=9
CCTV11,http://47.99.202.156:8001/tvlive/cctv11hd.m3u8?node=10
CCTV11,http://47.99.202.156:8001/tvlive/cctv11hd.m3u8?node=11
CCTV11,http://38.75.136.137:98/gslb/dsdqpub/cctv11hd.m3u8?auth=tvzb260306
好物分享,http://47.97.252.137:81/applive/102.m3u8?app=jiashitong
CCTV12,http://47.99.202.156:8001/apptv/cctv12.m3u8
CCTV12,http://47.99.202.156:8001/cdnlive/cctv12.m3u8
CCTV12,http://101.35.240.114:88/live.php?id=CCTV12
CCTV12,http://47.99.202.156:8001/tvlive/cctv12hd.m3u8?node=1
CCTV12,http://47.99.202.156:8001/tvlive/cctv12hd.m3u8?node=2
CCTV12,http://47.99.202.156:8001/tvlive/cctv12hd.m3u8?node=3
CCTV12,http://47.99.202.156:8001/tvlive/cctv12hd.m3u8?node=4
CCTV12,http://47.99.202.156:8001/tvlive/cctv12hd.m3u8?node=5
CCTV12,http://47.99.202.156:8001/tvlive/cctv12hd.m3u8?node=6
CCTV12,http://47.99.202.156:8001/tvlive/cctv12hd.m3u8?node=7
CCTV12,http://47.99.202.156:8001/tvlive/cctv12hd.m3u8?node=8
CCTV12,http://47.99.202.156:8001/tvlive/cctv12hd.m3u8?node=9
CCTV12,http://47.99.202.156:8001/tvlive/cctv12hd.m3u8?node=10
CCTV12,http://47.99.202.156:8001/tvlive/cctv12hd.m3u8?node=11
CCTV12,http://47.99.202.156:8001/tvlive/cctv12hd.m3u8?node=12
CCTV12,http://38.75.136.137:98/gslb/dsdqpub/cctv12hd.m3u8?auth=tvzb260306
CCTV13,http://47.99.202.156:8001/apptv/cctv13.m3u8
CCTV13,http://47.99.202.156:8001/cdnlive/cctv13.m3u8
CCTV13,http://101.35.240.114:88/live.php?id=CCTV13
CCTV13,http://47.99.202.156:8001/tvlive/cctv13hd.m3u8?node=1
CCTV13,http://47.99.202.156:8001/tvlive/cctv13hd.m3u8?node=2
CCTV13,http://47.99.202.156:8001/tvlive/cctv13hd.m3u8?node=3
CCTV13,http://47.99.202.156:8001/tvlive/cctv13hd.m3u8?node=4
CCTV13,http://47.99.202.156:8001/tvlive/cctv13hd.m3u8?node=5
CCTV13,http://47.99.202.156:8001/tvlive/cctv13hd.m3u8?node=6
CCTV13,http://47.99.202.156:8001/tvlive/cctv13hd.m3u8?node=7
CCTV13,http://47.99.202.156:8001/tvlive/cctv13hd.m3u8?node=8
CCTV13,http://47.99.202.156:8001/tvlive/cctv13hd.m3u8?node=9
CCTV13,http://47.99.202.156:8001/tvlive/cctv13hd.m3u8?node=10
CCTV13,http://47.99.202.156:8001/tvlive/cctv13hd.m3u8?node=11
CCTV13,http://38.75.136.137:98/gslb/dsdqpub/cctv13hd.m3u8?auth=tvzb260306
严选好物,http://47.97.252.137:81/applive/mkt.m3u8?app=jiashitong
CCTV14,http://47.99.202.156:8001/apptv/cctv14.m3u8
CCTV14,http://47.99.202.156:8001/cdnlive/cctv14.m3u8
CCTV14,http://101.35.240.114:88/live.php?id=CCTV14
CCTV14,http://47.99.202.156:8001/tvlive/cctv14hd.m3u8?node=1
CCTV14,http://47.99.202.156:8001/tvlive/cctv14hd.m3u8?node=2
CCTV14,http://47.99.202.156:8001/tvlive/cctv14hd.m3u8?node=3
CCTV14,http://47.99.202.156:8001/tvlive/cctv14hd.m3u8?node=4
CCTV14,http://47.99.202.156:8001/tvlive/cctv14hd.m3u8?node=5
CCTV14,http://47.99.202.156:8001/tvlive/cctv14hd.m3u8?node=6
CCTV14,http://47.99.202.156:8001/tvlive/cctv14hd.m3u8?node=7
CCTV14,http://47.99.202.156:8001/tvlive/cctv14hd.m3u8?node=8
CCTV14,http://47.99.202.156:8001/tvlive/cctv14hd.m3u8?node=9
CCTV14,http://47.99.202.156:8001/tvlive/cctv14hd.m3u8?node=10
CCTV14,http://47.99.202.156:8001/tvlive/cctv14hd.m3u8?node=11
CCTV14,http://38.75.136.137:98/gslb/dsdqpub/cctv14hd.m3u8?auth=tvzb260306
CCTV15,http://47.99.202.156:8001/apptv/cctv15.m3u8
